"Year","Wicket","Date","Total","Undefeated","Bat1","Bat1Score","Bat1NotOut","Bat2","Bat2Score","Bat2NotOut","Opp"
1969,10,1969-06-08 00:00:00,28,0,"vaum",36,0,"nibk",0,1,"Murray Sports"
1970,1,1970-07-11 00:00:00,66,0,"fart",41,0,"gwip",21,0,"Addington (1743)"
1970,2,1970-07-12 00:00:00,119,0,"onlg",75,0,"sewp",54,0,"Croydon"
1970,2,1970-08-01 00:00:00,90,0,"stav",53,0,"shol",39,0,"Auriol"
1970,2,1970-08-15 00:00:00,82,0,"stav",45,0,"sewp",37,0,"Commonwealth Offices"
1970,3,1970-07-11 00:00:00,69,0,"pint",39,0,"camr",35,0,"Addington (1743)"
1970,4,1970-06-27 00:00:00,92,0,"pint",109,1,"howv",39,0,"Surrey Grove"
1970,5,1970-06-17 00:00:00,85,0,"pint",71,0,"fart",16,0,"Cranbrook"
1970,5,1970-08-30 00:00:00,79,1,"shaa",67,1,"onlg",29,1,"Benhilton"
1970,6,1970-08-16 00:00:00,47,0,"shaa",39,0,"oxls",11,0,"Battersea Labour"
1970,7,1970-08-31 00:00:00,66,0,"vaum",41,1,"onlg",39,0,"Boxmoor"
1970,8,1970-09-06 00:00:00,42,0,"gwip",28,1,"worf",19,0,"Pyrford"
1970,9,1970-05-25 00:00:00,55,0,"murs",34,0,"mouc",16,1,"Auriol"
1970,10,1970-08-02 00:00:00,13,0,"mouc",12,1,"nibk",2,0,"Whyteleaf"
1971,1,1971-07-10 00:00:00,59,0,"knid",49,1,"gwip",36,0,"Clifton"
1971,2,1971-06-26 00:00:00,99,1,"onlg",81,1,"camr",50,1,"Surrey Grove"
1971,3,1971-09-26 00:00:00,75,0,"aldr",43,0,"gwip",36,0,"Croydon"
1971,4,1971-06-05 00:00:00,67,0,"pint",38,0,"camr",33,0,"South Wimbledon"
1971,5,1971-08-08 00:00:00,55,0,"aldr",43,0,"redd",18,0,"Muirhead"
1971,6,1971-08-22 00:00:00,34,0,"knid",39,1,"shep",34,0,"Benhilton"
1971,7,1971-06-06 00:00:00,43,0,"worf",30,1,"solw",9,0,"Wimbledon Utd"
1971,8,1971-07-18 00:00:00,45,0,"shep",48,0,"oxls",13,0,"Courage & B"
1971,9,1971-08-04 00:00:00,33,1,"nibj",40,1,"wort",10,1,"Sutton Police"
